# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_protein_protein_contact	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_structural_interaction_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABCF2P1	ENSG00000242159	ENST00000465687	processed_pseudogene	0	0	0	53	0	0	0	0	0	0	0	18	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	25
ABCF3	ENSG00000161204	ENST00000292808	protein_coding	0	2	5	82	1	0	0	0	0	0	0	27	0	0	35	5	0	0	0	0	0	0	0	0	0	0	0	0	2	19
ABCF3	ENSG00000161204	ENST00000421340	nonsense_mediated_decay	0	1	0	54	0	0	1	0	0	0	0	26	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18
ABCF3	ENSG00000161204	ENST00000429586	protein_coding	0	2	5	82	1	0	1	0	0	0	0	27	0	0	35	5	0	0	0	0	0	0	0	0	0	0	0	0	2	18
ABCF3	ENSG00000161204	ENST00000463685	retained_intron	0	0	0	53	0	0	0	0	0	0	0	30	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	19
ABCF3	ENSG00000161204	ENST00000466416	retained_intron	0	0	0	55	0	0	0	0	0	0	0	27	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	19
ABCF3	ENSG00000161204	ENST00000466742	retained_intron	0	0	0	74	0	0	0	0	0	0	0	27	0	0	10	0	16	0	0	0	0	0	0	0	0	0	0	0	0	21
ABCF3	ENSG00000161204	ENST00000468892	retained_intron	0	0	0	75	0	0	0	0	0	0	0	27	0	0	21	0	5	0	0	0	0	0	0	0	0	0	0	0	0	22
ABCF3	ENSG00000161204	ENST00000471226	retained_intron	0	0	0	60	0	0	0	0	0	0	0	32	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	21
ABCF3	ENSG00000161204	ENST00000472608	retained_intron	0	0	0	61	0	0	0	0	0	0	0	33	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	21
ABCF3	ENSG00000161204	ENST00000473311	retained_intron	0	0	0	89	0	0	0	0	0	0	0	27	0	0	32	0	11	0	0	0	0	0	0	0	0	0	0	0	0	19
ABCF3	ENSG00000161204	ENST00000475728	retained_intron	0	0	0	57	0	0	0	0	0	0	0	31	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	20
ABCF3	ENSG00000161204	ENST00000478288	retained_intron	0	0	0	55	0	0	0	0	0	0	0	26	0	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	19
ABCF3	ENSG00000161204	ENST00000480539	retained_intron	0	0	0	59	0	0	0	0	0	0	0	26	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	27
ABCF3	ENSG00000161204	ENST00000480562	retained_intron	0	0	0	72	0	0	0	0	0	0	0	27	0	0	10	0	7	0	0	0	0	0	0	0	0	0	0	0	0	28
ABCF3	ENSG00000161204	ENST00000481116	retained_intron	0	0	0	55	0	0	0	0	0	0	0	27	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	19
ABCF3	ENSG00000161204	ENST00000485921	retained_intron	0	0	0	54	0	0	0	0	0	0	0	29	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	18
ABCF3	ENSG00000161204	ENST00000489719	retained_intron	0	0	0	59	0	0	0	0	0	0	0	33	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	21
ABCF3	ENSG00000161204	ENST00000498136	retained_intron	0	0	0	62	0	0	0	0	0	0	0	31	0	0	9	0	3	0	0	0	0	0	0	0	0	0	0	0	0	19
ABHD10	ENSG00000144827	ENST00000273359	protein_coding	0	1	4	150	8	0	0	0	0	0	0	24	0	0	78	4	0	0	0	0	0	0	0	0	0	0	0	0	1	40
ABHD10	ENSG00000144827	ENST00000491580	nonsense_mediated_decay	0	0	2	148	6	0	1	0	0	0	0	24	0	0	78	2	0	0	0	0	0	0	0	0	0	0	0	0	0	39
ABHD10	ENSG00000144827	ENST00000493784	nonsense_mediated_decay	0	0	2	147	4	0	0	0	0	0	0	25	0	0	78	2	0	0	0	0	0	0	0	0	0	0	0	0	0	40
ABHD10	ENSG00000144827	ENST00000494817	protein_coding	0	0	2	141	0	0	0	0	0	0	0	23	0	0	78	2	0	0	0	0	0	0	0	0	0	0	0	0	0	40
ABHD10	ENSG00000144827	ENST00000497293	retained_intron	0	0	0	90	0	0	0	0	0	0	0	34	0	0	12	0	5	0	0	0	0	0	0	0	0	0	0	0	0	39
ABHD10	ENSG00000144827	ENST00000534857	protein_coding	0	1	2	147	3	0	3	0	0	0	0	24	0	0	78	2	0	0	0	0	0	0	0	0	0	0	0	0	1	39
ABHD14A	ENSG00000248487	ENST00000273596	protein_coding	0	3	4	43	0	0	0	0	0	0	0	17	0	0	13	4	0	0	0	0	0	0	2	0	0	0	0	0	1	15
ABHD14A	ENSG00000248487	ENST00000474575	retained_intron	0	2	0	39	0	0	0	0	0	0	0	15	0	0	7	0	5	0	0	0	0	0	2	0	0	0	0	0	0	14
ABHD14A	ENSG00000248487	ENST00000491470	protein_coding	0	3	2	44	0	0	0	0	0	0	0	17	0	0	15	2	0	0	0	0	0	0	2	0	0	0	0	0	1	14
ABHD14A	ENSG00000248487	ENST00000494478	protein_coding	0	2	1	47	0	0	0	0	0	0	0	19	0	0	16	1	0	0	0	0	0	0	1	0	0	0	0	0	1	13
ABHD14A	ENSG00000248487	ENST00000497864	protein_coding	0	3	2	51	0	0	1	0	0	0	0	18	0	0	23	2	0	0	0	0	0	0	1	0	0	0	0	0	2	10
ABHD14A-ACY1	ENSG00000114786	ENST00000463721	nonsense_mediated_decay	1	3	3	79	5	0	0	0	0	0	0	23	0	0	39	3	0	0	0	0	1	0	2	0	0	0	0	0	1	15
ABHD14A-ACY1	ENSG00000114786	ENST00000463937	protein_coding	1	5	3	77	0	0	0	0	0	0	0	24	0	0	41	3	0	0	0	0	1	0	2	0	0	0	0	0	3	15
ABHD14A-ACY1	ENSG00000114786	ENST00000486081	nonsense_mediated_decay	0	3	3	64	1	0	0	0	0	0	0	18	0	0	32	3	0	0	0	0	0	0	2	0	0	0	0	0	1	15
ABHD14A-ACY1	ENSG00000114786	ENST00000497128	retained_intron	0	1	0	74	0	0	0	0	0	0	0	22	0	0	34	0	4	0	0	0	0	0	1	0	0	0	0	0	0	15
ABHD14B	ENSG00000114779	ENST00000315877	protein_coding	1	0	1	45	0	0	1	0	0	0	0	18	1	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15
ABHD14B	ENSG00000114779	ENST00000361143	protein_coding	1	0	1	44	0	0	1	0	0	0	0	18	1	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14
ABHD14B	ENSG00000114779	ENST00000395008	protein_coding	1	0	1	44	0	0	1	0	0	0	0	18	1	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14
ABHD14B	ENSG00000114779	ENST00000461108	protein_coding	1	0	1	43	1	0	1	0	0	0	0	17	1	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14
ABHD14B	ENSG00000114779	ENST00000473912	retained_intron	0	0	0	35	0	0	0	0	0	0	0	10	0	0	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	14
ABHD14B	ENSG00000114779	ENST00000483233	protein_coding	1	0	1	72	0	0	2	0	0	0	0	18	1	0	39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13
ABHD14B	ENSG00000114779	ENST00000487005	processed_transcript	0	0	0	47	0	0	0	0	0	0	0	18	0	0	12	0	2	0	0	0	0	0	0	0	0	0	0	0	0	15
ABHD14B	ENSG00000114779	ENST00000525795	protein_coding	1	0	1	42	0	0	1	0	0	0	0	16	1	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14
ABHD5	ENSG00000011198	ENST00000013894	nonsense_mediated_decay	0	2	0	140	1	0	1	0	0	0	0	18	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	2	25
ABHD5	ENSG00000011198	ENST00000413300	protein_coding	0	0	1	76	1	0	0	0	0	0	0	30	0	0	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	23
ABHD5	ENSG00000011198	ENST00000454293	protein_coding	0	0	0	102	0	0	2	0	0	0	0	23	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
ABHD5	ENSG00000011198	ENST00000456453	protein_coding	0	1	1	106	0	0	3	0	0	0	0	23	0	0	58	1	0	0	0	0	0	0	1	0	0	0	0	0	0	22
ABHD5	ENSG00000011198	ENST00000458276	protein_coding	0	2	2	178	2	0	2	0	0	0	0	33	0	0	117	2	0	0	0	0	0	0	0	0	0	0	0	0	2	24
ABHD5	ENSG00000011198	ENST00000463153	processed_transcript	0	0	0	119	0	0	0	0	0	0	0	18	0	0	77	0	2	0	0	0	0	0	0	0	0	0	0	0	0	22
ABHD5	ENSG00000011198	ENST00000486764	retained_intron	0	0	0	91	0	0	0	0	0	0	0	20	0	0	42	0	4	0	0	0	0	0	0	0	0	0	0	0	0	25
ABHD6	ENSG00000163686	ENST00000295962	protein_coding	0	0	1	403	9	0	5	0	0	0	0	43	0	0	321	1	0	0	0	0	0	0	0	0	0	0	0	0	0	25
ABHD6	ENSG00000163686	ENST00000463756	protein_coding	0	0	0	246	0	0	0	0	0	0	0	20	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
ABHD6	ENSG00000163686	ENST00000470440	retained_intron	0	0	0	144	0	0	0	0	0	0	0	44	0	0	57	0	3	0	0	0	0	0	0	0	0	0	0	0	0	40
ABHD6	ENSG00000163686	ENST00000475982	nonsense_mediated_decay	0	0	0	221	1	0	0	0	0	0	0	17	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
ABHD6	ENSG00000163686	ENST00000478253	protein_coding	0	0	1	403	9	0	5	0	0	0	0	43	0	0	321	1	0	0	0	0	0	0	0	0	0	0	0	0	0	25
ABHD6	ENSG00000163686	ENST00000480457	processed_transcript	0	0	0	91	0	0	0	0	0	0	0	41	0	0	8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	39
ABHD6	ENSG00000163686	ENST00000485900	protein_coding	0	1	0	229	0	1	1	0	0	0	0	12	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
ABI3BP	ENSG00000154175	ENST00000284322	protein_coding	1	4	8	1352	22	0	0	0	0	0	0	32	0	0	1268	7	0	0	0	1	0	0	1	1	0	0	0	0	3	30
ABI3BP	ENSG00000154175	ENST00000383691	protein_coding	0	3	8	646	4	0	2	0	0	0	0	42	0	0	576	8	0	0	0	0	0	0	0	0	0	0	0	0	3	22
ABI3BP	ENSG00000154175	ENST00000459682	protein_coding	0	0	0	114	0	0	0	0	0	0	0	31	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
ABI3BP	ENSG00000154175	ENST00000466947	protein_coding	0	0	3	362	0	0	0	0	0	0	0	24	0	0	316	3	0	0	0	0	0	0	0	0	0	0	0	0	0	22
ABI3BP	ENSG00000154175	ENST00000469764	processed_transcript	0	0	0	99	0	0	0	0	0	0	0	39	0	0	25	0	4	0	0	0	0	0	0	0	0	0	0	0	0	31
ABI3BP	ENSG00000154175	ENST00000470336	retained_intron	0	1	0	664	0	0	0	0	0	0	0	32	0	0	583	0	28	0	0	0	0	0	1	0	0	0	0	0	0	22
ABI3BP	ENSG00000154175	ENST00000471714	protein_coding	1	5	15	1342	23	0	0	0	0	0	0	31	0	0	1258	15	0	0	0	0	0	0	0	1	0	0	0	0	5	30
ABI3BP	ENSG00000154175	ENST00000471901	protein_coding	0	0	5	374	0	0	0	0	0	0	0	39	0	0	316	5	0	0	0	0	0	0	0	0	0	0	0	0	0	19
ABI3BP	ENSG00000154175	ENST00000475896	retained_intron	0	1	0	658	0	0	0	0	0	0	0	19	0	0	595	0	15	0	0	0	0	0	1	0	0	0	0	0	0	30
ABI3BP	ENSG00000154175	ENST00000478235	protein_coding	0	0	4	280	0	0	0	0	0	0	0	24	0	0	237	4	0	0	0	0	0	0	0	0	0	0	0	0	0	19
ABI3BP	ENSG00000154175	ENST00000482765	protein_coding	0	0	3	173	0	0	0	0	0	0	0	24	0	0	114	3	0	0	0	0	0	0	0	0	0	0	0	0	0	35
ABI3BP	ENSG00000154175	ENST00000483129	protein_coding	0	0	2	167	0	0	0	0	0	0	0	19	0	0	124	2	0	0	0	0	0	0	0	0	0	0	0	0	0	24
ABI3BP	ENSG00000154175	ENST00000486770	protein_coding	0	0	3	291	0	0	0	0	0	0	0	40	0	0	209	3	0	0	0	0	0	0	0	0	0	0	0	0	0	42
ABI3BP	ENSG00000154175	ENST00000487012	retained_intron	0	0	0	600	0	0	0	0	0	0	0	44	0	0	520	0	11	0	0	0	0	0	0	0	0	0	0	0	0	25
ABI3BP	ENSG00000154175	ENST00000487249	retained_intron	0	0	0	81	0	0	0	0	0	0	0	25	0	0	31	0	1	0	0	0	0	0	0	0	0	0	0	0	0	24
ABI3BP	ENSG00000154175	ENST00000495063	protein_coding	1	4	6	921	5	0	0	0	0	0	0	36	0	0	850	6	0	0	0	0	0	0	0	1	0	0	0	0	4	30
ABI3BP	ENSG00000154175	ENST00000495591	protein_coding	0	3	10	644	4	0	0	0	0	0	0	42	0	0	576	10	0	0	0	0	0	0	0	0	0	0	0	0	3	22
ABI3BP	ENSG00000154175	ENST00000497021	retained_intron	0	0	0	152	0	0	0	0	0	0	0	42	0	0	68	0	2	0	0	0	0	0	0	0	0	0	0	0	0	40
ABI3BP	ENSG00000154175	ENST00000497395	protein_coding	0	0	1	260	0	0	0	0	0	0	0	41	0	0	177	1	0	0	0	0	0	0	0	0	0	0	0	0	0	42
ABI3BP	ENSG00000154175	ENST00000527258	protein_coding	0	2	1	250	0	0	0	0	0	0	0	27	0	0	201	1	0	0	0	0	0	0	0	0	0	0	0	0	2	22
ABI3BP	ENSG00000154175	ENST00000527943	protein_coding	0	0	4	166	0	0	0	0	0	0	0	24	0	0	103	4	0	0	0	0	0	0	0	0	0	0	0	0	0	39
ABI3BP	ENSG00000154175	ENST00000528305	protein_coding	0	0	2	348	0	0	0	0	0	0	0	36	0	0	289	2	0	0	0	0	0	0	0	0	0	0	0	0	0	23
ABI3BP	ENSG00000154175	ENST00000528490	protein_coding	0	0	1	165	0	0	0	0	0	0	0	32	0	0	107	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26
ABI3BP	ENSG00000154175	ENST00000530236	nonsense_mediated_decay	1	0	0	472	2	0	0	0	0	0	0	25	0	0	415	0	0	0	0	0	0	0	0	1	0	0	0	0	0	30
ABI3BP	ENSG00000154175	ENST00000530539	protein_coding	1	2	0	539	0	0	0	0	0	0	0	33	0	0	476	0	0	0	0	0	0	0	0	1	0	0	0	0	2	30
ABI3BP	ENSG00000154175	ENST00000532144	processed_transcript	0	0	0	180	0	0	0	0	0	0	0	27	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
ABI3BP	ENSG00000154175	ENST00000533795	protein_coding	0	0	3	250	0	0	0	0	0	0	0	33	0	0	186	3	0	0	0	0	0	0	0	0	0	0	0	0	0	31
ABI3BP	ENSG00000154175	ENST00000533855	protein_coding	0	0	3	194	0	0	0	0	0	0	0	23	0	0	147	3	0	0	0	0	0	0	0	0	0	0	0	0	0	24
ABI3BP	ENSG00000154175	ENST00000534256	protein_coding	0	0	3	78	0	0	0	0	0	0	0	20	0	0	22	3	0	0	0	0	0	0	0	0	0	0	0	0	0	36
ABI3BP	ENSG00000154175	ENST00000534413	protein_coding	0	0	2	104	0	0	0	0	0	0	0	31	0	0	36	2	0	0	0	0	0	0	0	0	0	0	0	0	0	37
ABTB1	ENSG00000114626	ENST00000232744	protein_coding	1	2	2	75	0	0	1	0	0	0	0	30	0	0	27	2	0	0	0	0	0	0	0	0	1	0	0	0	2	17
ABTB1	ENSG00000114626	ENST00000393363	protein_coding	1	2	1	77	0	1	3	0	0	0	0	30	0	0	27	1	0	0	0	0	0	0	0	0	1	0	0	0	1	17
ABTB1	ENSG00000114626	ENST00000453791	protein_coding	1	2	1	77	0	1	3	0	0	0	0	30	0	0	27	1	0	0	0	0	0	0	0	0	1	0	0	0	1	17
ABTB1	ENSG00000114626	ENST00000464431	retained_intron	0	0	0	70	0	0	0	0	0	0	0	30	0	0	2	0	19	0	0	0	0	0	0	0	0	0	0	0	0	19
ABTB1	ENSG00000114626	ENST00000466612	processed_transcript	0	0	0	48	0	0	0	0	0	0	0	24	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	18
ABTB1	ENSG00000114626	ENST00000467179	processed_transcript	0	0	0	63	0	0	0	0	0	0	0	26	0	0	14	0	3	0	0	0	0	0	0	0	0	0	0	0	0	20
ABTB1	ENSG00000114626	ENST00000468137	protein_coding	1	2	1	73	0	1	3	0	0	0	0	30	0	0	21	1	0	0	0	0	0	0	0	0	1	0	0	0	1	19
ABTB1	ENSG00000114626	ENST00000474129	retained_intron	0	0	0	63	0	0	0	0	0	0	0	29	0	0	10	0	2	0	0	0	0	0	0	0	0	0	0	0	0	22
ABTB1	ENSG00000114626	ENST00000475042	nonsense_mediated_decay	0	1	0	79	4	0	1	0	0	0	0	30	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17
ABTB1	ENSG00000114626	ENST00000475265	retained_intron	0	0	0	61	0	0	0	0	0	0	0	24	0	0	16	0	4	0	0	0	0	0	0	0	0	0	0	0	0	17
ABTB1	ENSG00000114626	ENST00000478298	retained_intron	0	0	0	64	0	0	0	0	0	0	0	29	0	0	10	0	2	0	0	0	0	0	0	0	0	0	0	0	0	23
ABTB1	ENSG00000114626	ENST00000479280	retained_intron	0	0	0	56	0	0	0	0	0	0	0	20	0	0	16	0	2	0	0	0	0	0	0	0	0	0	0	0	0	18
ABTB1	ENSG00000114626	ENST00000483857	nonsense_mediated_decay	0	1	0	59	2	0	1	0	0	0	0	23	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17
ABTB1	ENSG00000114626	ENST00000491633	processed_transcript	0	0	0	66	0	0	0	0	0	0	0	30	0	0	12	0	2	0	0	0	0	0	0	0	0	0	0	0	0	22
ABTB1	ENSG00000114626	ENST00000493365	retained_intron	0	0	0	53	0	0	0	0	0	0	0	17	0	0	15	0	4	0	0	0	0	0	0	0	0	0	0	0	0	17
ABTB1	ENSG00000114626	ENST00000497162	nonsense_mediated_decay	1	0	0	61	0	0	0	0	0	0	0	30	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	21
AC007620.3	ENSG00000242539	ENST00000495081	antisense	0	0	0	76	0	0	0	0	0	0	0	32	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	39
AC007620.3	ENSG00000242539	ENST00000598857	antisense	0	0	0	75	0	0	0	0	0	0	0	31	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	37
AC007620.3	ENSG00000242539	ENST00000600539	antisense	0	0	0	80	0	0	0	0	0	0	0	30	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	37
AC007690.1	ENSG00000203632	ENST00000366439	pseudogene	0	0	0	104	0	0	0	0	0	0	0	57	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	36
AC007919.1	ENSG00000264711	ENST00000579277	miRNA	0	0	0	72	0	0	0	0	0	0	0	31	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	40
AC007919.18	ENSG00000224611	ENST00000429380	processed_pseudogene	0	0	0	68	0	0	0	0	0	0	0	40	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	25
AC007919.19	ENSG00000231384	ENST00000444110	processed_pseudogene	0	0	0	53	0	0	0	0	0	0	0	22	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	29
AC007919.2	ENSG00000269496	ENST00000598405	protein_coding	1	0	3	56	0	0	0	0	0	0	0	22	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	34
AC010139.1	ENSG00000264034	ENST00000579736	miRNA	0	0	0	70	0	0	0	0	0	0	0	38	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	31
AC010170.1	ENSG00000178550	ENST00000325090	pseudogene	1	0	0	78	0	0	0	0	0	0	0	39	0	0	1	0	5	0	0	0	1	0	0	0	0	0	0	0	0	34
AC010207.1	ENSG00000221313	ENST00000408386	miRNA	0	0	0	37	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
AC011322.1	ENSG00000233487	ENST00000445739	processed_transcript	0	0	0	77	0	0	0	0	0	0	0	35	0	0	13	0	3	0	0	0	0	0	0	0	0	0	0	0	0	26
AC011322.1	ENSG00000233487	ENST00000456555	transcribed_processed_pseudogene	0	0	0	55	0	0	0	0	0	0	0	23	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	23
AC011816.1	ENSG00000234073	ENST00000441346	processed_pseudogene	0	0	0	66	0	0	0	0	0	0	0	32	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	30
AC012467.1	ENSG00000222888	ENST00000410956	miRNA	0	0	0	60	0	0	0	0	0	0	0	30	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	28
AC016970.1	ENSG00000265076	ENST00000579051	miRNA	0	0	0	83	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
AC018359.1	ENSG00000226320	ENST00000415991	lincRNA	0	0	0	1057	0	0	0	0	0	0	0	28	0	0	1001	0	4	0	0	0	0	0	0	0	0	0	0	0	0	24
AC018359.1	ENSG00000226320	ENST00000424786	lincRNA	0	0	0	2041	0	0	0	0	0	0	0	25	0	0	1988	0	3	0	0	0	0	0	0	0	0	0	0	0	0	25
AC018359.3	ENSG00000227498	ENST00000442567	lincRNA	0	0	0	136	0	0	0	0	0	0	0	33	0	0	78	0	3	0	0	0	0	0	0	0	0	0	0	0	0	22
AC018450.1	ENSG00000211483	ENST00000390149	miRNA	0	0	0	63	0	0	0	0	0	0	0	30	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	32
AC018495.3	ENSG00000230599	ENST00000440266	lincRNA	0	0	0	79	0	0	0	0	0	0	0	31	0	0	20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	27
AC018506.1	ENSG00000266001	ENST00000578447	miRNA	0	0	0	37	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
